LINE, REF, QTY, EPCCS TYP, EPCCS PN, MFG@PN, DESCRIPTION, NOTES, COST EA, LINE COST,BIN
,,,,,,RPUpi SMD,,,TOTAL,
,,,,,,2/15/19 (16197^4),,,=SUM(J5:J100),
,,,,,,,,,,
1,C1 C2 C3 C4 C6 C7 C8 C9 C10,9,C-C,0603X7R50V104K,TDK@C1608X7R1H104K080AA,CAP CER 0.1UF 50V 10% X7R 0603,(1),0.0055,=C5*I5,ADPT
2,C5,1,C-T,106A,AVX@TPSA106K010R0900,CAP TANT 10UF 10V 10% ESR .9OHM 1206,(1),0.3575,=C6*I6,ADPT
3,C11 C12,2,C-C,0603NPO50V270J,SAMSUNG@CL10C270JB8NNNC,CAP CER 27PF 50V 5% NPO 0603,(1),0.0067,=C7*I7,RPUNO
4,D1,1,D-GP,T4,DIODES@1N4148W-7-F,DIODE SWITCH 100V 0.15A SOD123,(1),0.0601,=C8*I8,CC01
5,Q1 Q2 Q3,3,Q-NPN,K1N,DIODES@MMBT3904-7-F,TRANSISTOR NPN GP 40V 200MA SOT23,(1),0.0204,=C9*I9,IRRIGATE7
6,R1 R2 R3 R7 R8 R11 R15 R21 R22 R26 R33 R38 R40,13,R-C,0805KX1002,YAGEO@RC0805FR-0710KL,RESISTOR CHIP 1% 10KOHM 0805,(1),0.0025,=C10*I10,ADPT
7,R4 R14 R25 R39 R41,5,R-C,0805KX1821,YAGEO@RC0805FR-071K82L,RESISTOR CHIP 1% 1K82OHM 0805,(1),0.0064,=C11*I11,RPUPI
8,R5 R6 R9 R10 R16 R18 R20 R24 R27 R29 R32 R36 R37,13,R-C,0805KX3011,YAGEO@RC0805FR-073K01L,RESISTOR CHIP 1% 3K01OHM 0805,(1),0.0064,=C12*I12,ADPT
9,R12 R23 R30,3,R-C,0805KX1003,YAGEO@RC0805FR-07100KL,RESISTOR CHIP 1% 100KOHM 0805,(1),0.0025,=C13*I13,IRRIGATE7
10,R13,0,R-C,OPEN,,,(),0.0,=C14*I14,NA
11,R17 R19 R28 R31 R34 R35,6,R-C,0805KX182R,YAGEO@RC0805FR-07182RL,RESISTOR CHIP 1% 182OHM 0805,(1),0.0025,=C15*I15,IRRIGATE7
12,U1 U3,2,U-7400,74LVC07A,DIODES@74LVC07AS14-13,LOGIC BUFFER OPEN DRAIN 14SOIC,(1),0.1978,=C16*I16,ADPT
13,U2 U4 U6,3,U-TRANSCEIVER,THVD1500,TI@THVD1500DR,TRANSCEIVER RS485 5V HALFDPLX 8SOIC,(1),1.2567,=C17*I17,RPUPI
14,U7,1,U-AVR,ATMEGA328PB,ATMEL@ATMEGA328PB-AU,MCU AVR8 32KB FLASH 20MHZ 32TQFP,(1),1.27,=C18*I18,ADPT
15,Y1,1,Y-XTL,12MHZ20,ECS@ECS-120-20-3X-TR,CRYSTAL 12MHZ 20PF 30PPM  CSM-3X,(1),0.315,=C19*I19,ADPT
,,,,,,,,,,
,,,,,,NOTES,,,,
,,,,,,(1) Alternate part with same or better rating allowed,,,,



